Time,Euler0,Euler1,Euler2,ShakeLevel
3.905421,17.00, 21.00, -67.00,0
4.008436,18.00, 10.00, -83.00,0
4.104291,18.00, 6.00, -91.00,0
4.234552,16.00, 4.00, -93.00,0
4.35238,15.00, 5.00, -92.00,0
4.458151,16.00, 5.00, -90.00,0
4.55509,16.00, 7.00, -89.00,0
4.704223,15.00, 7.00, -89.00,0
4.787596,16.00, 7.00, -88.00,0
4.917628,16.00, 8.00, -87.00,0
5.002452,16.00, 9.00, -86.00,0
5.141343,16.00, 9.00, -85.00,0
5.257339,17.00, 10.00, -84.00,0
5.370987,17.00, 12.00, -84.00,0
5.475423,17.00, 11.00, -84.00,0
5.647458,17.00, 11.00, -83.00,0
5.892519,17.00, 10.00, -83.00,0
